TITLE,CATEGORY,URL
"Game Theory","Business and Economics","doi.org/10.1007/978-3-662-46950-7"
"Linear Programming","Business and Economics","doi.org/10.1007/978-1-4614-7630-6"
"Logistics","Business and Economics","doi.org/10.1007/978-3-319-01769-3"
"New Introduction to Multiple Time Series Analysis","Business and Economics","doi.org/10.1007/978-3-540-27752-1"
"Business Process Management Cases","Business and Management","doi.org/10.1007/978-3-319-58307-5"
"Enterprise Risk Management Models","Business and Management","doi.org/10.1007/978-3-662-53785-5"
"Essentials of Business Analytics","Business and Management","doi.org/10.1007/978-3-319-68837-4"
"Excel Data Analysis","Business and Management","doi.org/10.1007/978-3-030-01279-3"
"Knowledge Management","Business and Management","doi.org/10.1007/978-3-319-59978-6"
"Linear and Nonlinear Programming","Business and Management","doi.org/10.1007/978-3-319-18842-3"
"A Beginners Guide to Python 3 Programming","Computer Science","doi.org/10.1007/978-3-030-20290-3"
"A Beginner's Guide to Scala, Object Orientation and Functional Programming","Computer Science","doi.org/10.1007/978-3-319-75771-1"
"Advanced Guide to Python 3 Programming","Computer Science","doi.org/10.1007/978-3-030-25943-3"
"An Introduction to Machine Learning","Computer Science","doi.org/10.1007/978-3-319-63913-0"
"Analysis for Computer Scientists","Computer Science","doi.org/10.1007/978-3-319-91155-7"
"Automata and Computability","Computer Science","doi.org/10.1007/978-1-4612-1844-9"
"Computational Geometry","Computer Science","doi.org/10.1007/978-3-540-77974-2"
"Computer Vision","Computer Science","doi.org/10.1007/978-1-84882-935-0"
"Concise Guide to Databases","Computer Science","doi.org/10.1007/978-1-4471-5601-7"
"Concise Guide to Software Engineering","Computer Science","doi.org/10.1007/978-3-319-57750-0"
"Cryptography Made Simple","Computer Science","doi.org/10.1007/978-3-319-21936-3"
"Data Mining","Computer Science","doi.org/10.1007/978-3-319-14142-8"
"Data Science and Predictive Analytics","Computer Science","doi.org/10.1007/978-3-319-72347-1"
"Eye Tracking Methodology","Computer Science","doi.org/10.1007/978-3-319-57883-5"
"Foundations of Programming Languages","Computer Science","doi.org/10.1007/978-3-319-70790-7"
"Fundamentals of Business Process Management","Computer Science","doi.org/10.1007/978-3-642-33143-5"
"Fundamentals of Business Process Management","Computer Science","doi.org/10.1007/978-3-662-56509-4"
"Fundamentals of Java Programming","Computer Science","doi.org/10.1007/978-3-319-89491-1"
"Fundamentals of Multimedia","Computer Science","doi.org/10.1007/978-3-319-05290-8"
"Guide to Competitive Programming","Computer Science","doi.org/10.1007/978-3-319-72547-5"
"Guide to Computer Network Security","Computer Science","doi.org/10.1007/978-3-319-55606-2"
"Guide to Discrete Mathematics","Computer Science","doi.org/10.1007/978-3-319-44561-8"
"Guide to Scientific Computing in C++","Computer Science","doi.org/10.1007/978-3-319-73132-2"
"Introduction to Artificial Intelligence","Computer Science","doi.org/10.1007/978-3-319-58487-4"
"Introduction to Data Science","Computer Science","doi.org/10.1007/978-3-319-50017-1"
"Introduction to Deep Learning","Computer Science","doi.org/10.1007/978-3-319-73004-2"
"Introduction to Evolutionary Computing","Computer Science","doi.org/10.1007/978-3-662-44874-8"
"Introduction to Parallel Computing","Computer Science","doi.org/10.1007/978-3-319-98833-7"
"Introduction to Programming with Fortran","Computer Science","doi.org/10.1007/978-3-319-75502-1"
"Introductory Computer Forensics","Computer Science","doi.org/10.1007/978-3-030-00581-8"
"Java in Two Semesters","Computer Science","doi.org/10.1007/978-3-319-99420-8"
"LaTeX in 24 Hours","Computer Science","doi.org/10.1007/978-3-319-47831-9"
"Logical Foundations of Cyber-Physical Systems","Computer Science","doi.org/10.1007/978-3-319-63588-0"
"Modelling Computing Systems","Computer Science","doi.org/10.1007/978-1-84800-322-4"
"Neural Networks and Deep Learning","Computer Science","doi.org/10.1007/978-3-319-94463-0"
"Object-Oriented Analysis, Design and Implementation","Computer Science","doi.org/10.1007/978-3-319-24280-4"
"Principles of Data Mining","Computer Science","doi.org/10.1007/978-1-4471-7307-6"
"Probability and Statistics for Computer Science","Computer Science","doi.org/10.1007/978-3-319-64410-3"
"Python Programming Fundamentals","Computer Science","doi.org/10.1007/978-1-4471-6642-9"
"Recommender Systems","Computer Science","doi.org/10.1007/978-3-319-29659-3"
"Systems Programming in Unix/Linux","Computer Science","doi.org/10.1007/978-3-319-92429-8"
"The Algorithm Design Manual","Computer Science","doi.org/10.1007/978-1-84800-070-4"
"The Data Science Design Manual","Computer Science","doi.org/10.1007/978-3-319-55444-0"
"The Python Workbook","Computer Science","doi.org/10.1007/978-3-319-14240-1"
"Understanding Cryptography","Computer Science","doi.org/10.1007/978-3-642-04101-3"
"System Dynamics","Economics and Finance","doi.org/10.1007/978-981-10-2045-2"
"Astronautics","Engineering","doi.org/10.1007/978-3-319-74373-8"
"Intuitive Probability and Random Processes using MATLAB®️","Engineering","doi.org/10.1007/b104645"
"A Beginner's Guide to R","Mathematics and Statistics","doi.org/10.1007/978-0-387-93837-0"
"A Modern Introduction to Probability and Statistics","Mathematics and Statistics","doi.org/10.1007/1-84628-168-7"
"A Primer on Scientific Programming with Python","Mathematics and Statistics","doi.org/10.1007/978-3-662-49887-3"
"Algebra","Mathematics and Statistics","doi.org/10.1007/978-1-4613-0041-0"
"All of Statistics","Mathematics and Statistics","doi.org/10.1007/978-0-387-21736-9"
"An Introduction to Statistical Learning","Mathematics and Statistics","doi.org/10.1007/978-1-4614-7138-7"
"Applied Multivariate Statistical Analysis","Mathematics and Statistics","doi.org/10.1007/978-3-662-45171-7"
"Applied Predictive Modeling","Mathematics and Statistics","doi.org/10.1007/978-1-4614-6849-3"
"Bayesian and Frequentist Regression Methods","Mathematics and Statistics","doi.org/10.1007/978-1-4419-0925-1"
"Bayesian Essentials with R","Mathematics and Statistics","doi.org/10.1007/978-1-4614-8687-9"
"Brownian Motion, Martingales, and Stochastic Calculus","Mathematics and Statistics","doi.org/10.1007/978-3-319-31089-3"
"Calculus With Applications","Mathematics and Statistics","doi.org/10.1007/978-1-4614-7946-8"
"Complex Analysis","Mathematics and Statistics","doi.org/10.1007/978-1-4419-7288-0"
"Design and Analysis of Experiments","Mathematics and Statistics","doi.org/10.1007/978-3-319-52250-0"
"Introduction to Statistics and Data Analysis","Mathematics and Statistics","doi.org/10.1007/978-3-319-46162-5"
"Introduction to Time Series and Forecasting","Mathematics and Statistics","doi.org/10.1007/978-3-319-29854-2"
"Introductory Statistics with R","Mathematics and Statistics","doi.org/10.1007/978-0-387-79054-1"
"Introductory Time Series with R","Mathematics and Statistics","doi.org/10.1007/978-0-387-88698-5"
"Linear Algebra Done Right","Mathematics and Statistics","doi.org/10.1007/978-3-319-11080-6"
"Linear Algebra","Mathematics and Statistics","doi.org/10.1007/978-3-319-24346-7"
"Modeling Life","Mathematics and Statistics","doi.org/10.1007/978-3-319-59731-7"
"Multivariate Calculus and Geometry","Mathematics and Statistics","doi.org/10.1007/978-1-4471-6419-7"
"Probability","Mathematics and Statistics","doi.org/10.1007/978-1-4612-4374-8"
"Probability Theory","Mathematics and Statistics","doi.org/10.1007/978-1-4471-5201-9"
"Probability Theory","Mathematics and Statistics","doi.org/10.1007/978-1-4471-5361-0"
"Reading, Writing, and Proving","Mathematics and Statistics","doi.org/10.1007/978-1-4419-9479-0"
"Real Analysis","Mathematics and Statistics","doi.org/10.1007/978-1-4939-2766-1"
"Regression Modeling Strategies","Mathematics and Statistics","doi.org/10.1007/978-3-319-19425-7"
"Representation Theory","Mathematics and Statistics","doi.org/10.1007/978-1-4612-0979-9"
"Statistical Analysis and Data Display","Mathematics and Statistics","doi.org/10.1007/978-1-4939-2122-5"
"Statistical Learning from a Regression Perspective","Mathematics and Statistics","doi.org/10.1007/978-3-319-44048-4"
"Survival Analysis","Mathematics and Statistics","doi.org/10.1007/978-1-4419-6646-9"
"The Elements of Statistical Learning","Mathematics and Statistics","doi.org/10.1007/978-0-387-84858-7"
